"ah it's amazing, olly.",general/general_praise
"ah it's awesome, olly.",general/general_praise
"any one is good, olly.",general/general_dontcare
"any one will be good to me, olly.",general/general_dontcare
"any one will be ok with me, olly.",general/general_dontcare
"any one would be ok with me, olly.",general/general_dontcare
"any one would be okay with me, olly.",general/general_dontcare
"any one, olly.",general/general_dontcare
"anything is fine to me, olly.",general/general_dontcare
"anything is ok to me, olly.",general/general_dontcare
"anything will be good with me, olly.",general/general_dontcare
"anything, olly.",general/general_dontcare
"appreciate your answers, olly.",general/general_praise
"appreciated, that's good.",general/general_praise
"appreciated, that's wonderful job.",general/general_praise
"awesome work, you did well, olly.",general/general_praise
"dammit, not correct answer.",general/general_negate
"dammit, not right command.",general/general_negate
"dammit, that's not what i meant.",general/general_negate
"dammit, this isn't what i just said.",general/general_negate
"dammit, wrong response.",general/general_negate
"dammit, you gave me incorrect information.",general/general_negate
"do not care, olly.",general/general_dontcare
"do not really know, olly.",general/general_dontcare
"does not matter for me, olly.",general/general_dontcare
"does not matter with me, olly.",general/general_dontcare
"does not really matter to me, olly.",general/general_dontcare
"doesn't matter with me, olly.",general/general_dontcare
"doesn't matter, olly.",general/general_dontcare
"don't mind to select any one, olly.",general/general_dontcare
"don't really bother, olly.",general/general_dontcare
"don't really care, olly.",general/general_dontcare
"don't really mind, olly.",general/general_dontcare
"excellent job, you've done well.",general/general_praise
"excellent work, you did well.",general/general_praise
"excellent work, you've done well.",general/general_praise
"fantastic job, you have done well, olly.",general/general_praise
"good job, you did well.",general/general_praise
"good job, you have done well.",general/general_praise
"good work, you have done well, olly.",general/general_praise
"great job, you have done well.",general/general_praise
"have no idea about what to choose, olly.",general/general_dontcare
"have no idea about which to choose, olly.",general/general_dontcare
"have no idea for what to do, olly.",general/general_dontcare
"have no idea for which to choose, olly.",general/general_dontcare
"have no idea regarding to what to do, olly.",general/general_dontcare
"have no idea regarding to what to select, olly.",general/general_dontcare
"have no idea, olly.",general/general_dontcare
"hmm, i think you did the task all in wrong manner.",general/general_negate
"hmm, it is not what i wanted.",general/general_negate
"hmm, not right response.",general/general_negate
"hmm, that isn't what i am searching for.",general/general_negate
"hmm, you did not get what i wanted.",general/general_negate
"hmm, you gave me wrong information.",general/general_negate
"hmm, you've done this all in wrong manner.",general/general_negate
"i appreciate it, it is great one, olly.",general/general_praise
"i appreciate it, it was awesome.",general/general_praise
"i appreciate it, it's good, olly.",general/general_praise
"i appreciate it, that's good.",general/general_praise
"i appreciate it, that's great job.",general/general_praise
"i do not know, olly.",general/general_dontcare
"i do not mind for any one, olly.",general/general_dontcare
"i do not mind to choose any one, olly.",general/general_dontcare
"i do not really bother, olly.",general/general_dontcare
"i do not really care, olly.",general/general_dontcare
"i do not really know, olly.",general/general_dontcare
"i do not really mind, olly.",general/general_dontcare
"i don't bother, olly.",general/general_dontcare
"i don't care, olly.",general/general_dontcare
"i don't know, olly.",general/general_dontcare
"i have no idea about what to choose, olly.",general/general_dontcare
"i have no idea for what to do, olly.",general/general_dontcare
"i have no idea for which to choose, olly.",general/general_dontcare
"i have no idea regarding to what to do, olly.",general/general_dontcare
"i have no idea, olly.",general/general_dontcare
"i would not care, olly.",general/general_dontcare
"i would not mind for any one, olly.",general/general_dontcare
"i would not mind to select any one, olly.",general/general_dontcare
"i would not really care, olly.",general/general_dontcare
"i would not really know, olly.",general/general_dontcare
"i would not really mind for any one, olly.",general/general_dontcare
"i would not really mind to choose any one, olly.",general/general_dontcare
"i wouldn't really mind, olly.",general/general_dontcare
"I'll take my coffee, black",iot/iot_coffee
"it does not matter with me, olly.",general/general_dontcare
"it does not really matter for me, olly.",general/general_dontcare
"it doesn't matter for me, olly.",general/general_dontcare
"it doesn't really matter with me, olly.",general/general_dontcare
"it doesn't really matter, olly.",general/general_dontcare
"it is good job, thank you very much, olly.",general/general_praise
"it is helpful,.",general/general_praise
"it is nice job, thanks.",general/general_praise
"it is of no importance to me, olly.",general/general_dontcare
"it is of no importance with me, olly.",general/general_dontcare
"it is perfect work, musch appreciated, olly.",general/general_praise
"it is unimportant for me, olly.",general/general_dontcare
"it is useful, thank you, olly.",general/general_praise
"it was amazing, olly.",general/general_praise
"it was cool, musch appreciated, olly.",general/general_praise
"it was cool, thanks.",general/general_praise
"it was helpful, appreciated.",general/general_praise
"it was helpful, thank you so much, olly.",general/general_praise
"it was nice job, thank you so much.",general/general_praise
"it was nice one, thanks.",general/general_praise
"it's cool, musch appreciated, olly.",general/general_praise
"it's cool, musch appreciated.",general/general_praise
"it's cool, thank you very much, olly.",general/general_praise
"it's cool, thank you very much.",general/general_praise
"it's cool, thank you, olly.",general/general_praise
"it's cool, thanks, olly.",general/general_praise
"it's good one, appreciated.",general/general_praise
"it's good one, thank you.",general/general_praise
"it's great one, i appreciate it.",general/general_praise
"it's great one, thank you so much.",general/general_praise
"it's helpful, i appreciate it.",general/general_praise
"it's helpful, musch appreciated.",general/general_praise
"it's helpful, thanks.",general/general_praise
"it's helpful,.",general/general_praise
"it's nice one, i appreciate it.",general/general_praise
"it's nice one, thanks, olly.",general/general_praise
"it's nice, appreciated.",general/general_praise
"it's useful, i appreciate it.",general/general_praise
"it's useful,.",general/general_praise
"musch appreciated, it's fantastic.",general/general_praise
"musch appreciated, it's perfect.",general/general_praise
"musch appreciated, olly.",general/general_praise
"nice job, you have done well.",general/general_praise
"nice job, you've done well.",general/general_praise
"nice work, you have done well, olly.",general/general_praise
"no, i think wrong response.",general/general_negate
"no, thanks.",general/general_negate
"no, that was not what i said.",general/general_negate
"no, you did all wrongly.",general/general_negate
"no, you gave me not correct information.",general/general_negate
"nope, i didn't say this.",general/general_negate
"nope, i think that's not the right answer.",general/general_negate
"nope, i think you made mistake, please correct this.",general/general_negate
"nope, i think you messed up.",general/general_negate
"nope, not correct command.",general/general_negate
"nope, this was not the right response.",general/general_negate
"nope, you did a task in wrong manner.",general/general_negate
"nope, you didn't understand what i just requested.",general/general_negate
"oh no, i did not say this.",general/general_negate
"oh no, you've done a task in wrong manner.",general/general_negate
"oh that's fantastic job, olly.",general/general_praise
"olly that is all, cancel it.",general/general_commandstop
"olly that is all, just stop.",general/general_commandstop
"olly that is all, stop.",general/general_commandstop
"olly that is enough, cancel it.",general/general_commandstop
"olly that is enough, cancel.",general/general_commandstop
"olly that is enough, just cancel it.",general/general_commandstop
"olly that is enough, just cancel.",general/general_commandstop
"olly that is enough, just stop it.",general/general_commandstop
"olly that is enough, stop it.",general/general_commandstop
"olly that's all, cancel.",general/general_commandstop
"olly that's all, just cancel it.",general/general_commandstop
"olly that's all, just cancel.",general/general_commandstop
"olly that's all, just stop.",general/general_commandstop
"olly that's all, stop it.",general/general_commandstop
"olly that's all, stop.",general/general_commandstop
"olly that's enough, just stop it.",general/general_commandstop
"olly that's enough, stop it.",general/general_commandstop
"olly that's enough, stop.",general/general_commandstop
"oops, i think it was not the correct answer.",general/general_negate
"oops, i think that was not the right command.",general/general_negate
"oops, that's not the right response.",general/general_negate
"perfect job, you did well.",general/general_praise
"perfect job, you've done well, olly.",general/general_praise
"perfect work, you did well.",general/general_praise
"perfect work, you have done well.",general/general_praise
"really i don't mind, olly.",general/general_dontcare
"s1, again elaborate me on what you have just said please.",general/general_explain
"s1, again explain me about your response.",general/general_explain
"s1, again explain to me please.",general/general_explain
"s1, can you clarify further on your words please.",general/general_explain
"s1, can you explain me more on your answer.",general/general_explain
"s1, can you please further elaborate.",general/general_explain
"s1, can you rephrase me more on the last sentence please.",general/general_explain
"s1, clarify further on your response.",general/general_explain
"s1, could you clarify me further on that please.",general/general_explain
"s1, could you please again clarify what you have just said.",general/general_explain
"s1, could you please clarify me about what you've just said once again.",general/general_explain
"s1, could you please rephrase me further on that.",general/general_explain
"s1, could you please rephrase me more on what you said.",general/general_explain
"s1, explain me on your answer further please.",general/general_explain
"s1, explain me on your answers once again.",general/general_explain
"s1, explain more on what you have just said to me please.",general/general_explain
"s1, further rephrase me about what you just said now please.",general/general_explain
"s1, please can you clarify me more on your words.",general/general_explain
"s1, please can you elaborate me further on this.",general/general_explain
"s1, please clarify me more on that.",general/general_explain
"s1, please clarify me on what you have said once again.",general/general_explain
"s1, please could you elaborate me about your words once again.",general/general_explain
"s1, please elaborate me on what you just said further.",general/general_explain
"s1, please elaborate more on this to me.",general/general_explain
"s1, please further explain me about the last sentence.",general/general_explain
